,Cloudiness (%),Humidity (%),Latitude,Name,Temperature (F),Wind Speed (mph)
0,100,76,-16.48,faanui,300.78,5.47
1,90,80,42.65,albany,273.7,2.1
2,1,77,-33.93,cape town,292.13,7.7
3,90,100,31.26,lujiang,278.15,2.0
4,8,47,-53.16,punta arenas,286.03,5.1
5,100,77,6.15,funadhoo,301.13,7.41
6,0,31,36.62,xining,267.19,2.06
7,5,93,15.34,vaini,290.15,2.9
8,13,74,10.2,isabela,298.92,5.2
9,11,57,-54.81,ushuaia,284.15,3.1
10,75,86,35.73,hasaki,278.25,2.6
11,28,21,-42.78,new norfolk,307.92,2.24
12,75,100,-20.41,mahebourg,297.82,11.8
13,90,80,69.97,alta,273.25,7.2
14,5,65,34.45,abu kamal,283.63,4.28
15,42,97,71.98,khatanga,237.28,2.89
16,100,94,-9.87,alta floresta,296.05,0.8
17,0,61,10.59,san joaquin,302.69,6.46
18,100,78,-23.12,rikitea,298.38,2.57
19,20,69,22.08,kapaa,300.52,4.1
20,100,95,64.25,hofn,275.88,7.51
21,75,75,62.45,yellowknife,245.3,1.79
22,33,90,-26.65,luderitz,289.38,8.76
23,20,76,-42.48,castro,286.15,2.1
24,100,79,-10.12,coruripe,298.86,4.78
25,100,55,-0.58,loa janan,305.1,2.28
26,0,52,-26.98,san patricio,300.76,2.38
27,75,100,-20.34,bambous virieux,297.83,11.8
28,4,90,4.87,axim,298.23,0.84
29,91,73,-46.19,mataura,288.71,9.39
30,100,89,77.48,qaanaaq,249.66,0.6
31,98,42,-28.95,codrington,301.33,3.6
32,90,42,-33.86,esperance,293.15,5.7
33,25,68,-20.25,praia,295.71,3.6
34,40,74,69.44,tuktoyaktuk,243.15,6.2
35,75,86,36.36,constantine,277.15,2.6
36,100,69,-9.65,waingapu,302.5,1.13
37,40,59,40.47,hachinohe,279.37,3.1
38,3,88,60.13,uray,252.83,2.6
39,90,88,33.19,avera,293.34,5.1
40,100,92,50.68,severo-kurilsk,269.81,5.25
41,48,89,-34.42,hermanus,291.55,0.45
42,67,77,-34.53,bredasdorp,291.76,3.1
43,75,87,34.47,toba,280.27,4.6
44,0,18,15.01,douentza,287.89,1.64
45,0,67,14.9,sao filipe,295.09,5.48
46,10,96,-33.59,port alfred,293.71,0.45
47,1,70,5.56,banda aceh,301.39,2.77
48,0,81,37.14,lagoa,284.22,3.6
49,100,70,-5.67,tual,302.24,3.85
50,90,68,45.36,saint-philippe,270.72,6.2
51,38,60,-33.64,busselton,292.04,1.34
52,39,92,-33.69,chuy,294.95,2.17
53,100,93,48.59,shubarshi,263.2,1.5
54,25,42,-23.58,bluff,304.24,5.56
55,0,77,4.14,meulaboh,300.37,2.46
56,100,78,72.79,upernavik,263.27,6.45
57,100,94,6.8,georgetown,298.95,2.1
58,20,87,-29.95,coquimbo,288.15,2.6
59,33,34,-42.88,hobart,307.92,6.77
60,75,83,-0.74,puerto ayora,297.73,1.5
61,14,90,-20.63,ponta do sol,291.61,1.64
62,0,27,42.84,hami,268.12,1.44
63,0,33,10.07,asosa,291.81,3.05
64,20,84,55.74,thompson,255.15,1.0
65,94,52,-15.77,kununurra,307.15,3.1
66,5,69,20.71,ixtapa,296.8,2.1
67,1,67,30.04,nome,286.58,4.6
68,99,85,47.72,cuiluan,250.51,1.09
69,56,17,-37.83,mount gambier,312.15,8.7
70,100,74,55.51,ramygala,274.15,4.1
71,0,16,10.4,kontagora,291.49,3.23
72,100,78,66.83,yar-sale,263.17,9.25
73,100,97,47.96,ayagoz,272.69,8.08
74,90,100,48.41,thunder bay,272.46,8.7
75,29,64,20.88,meiktila,292.96,3.8
76,90,92,56.07,marfino,269.59,7.0
77,100,78,-21.21,avarua,298.15,1.5
78,90,93,46.54,marquette,274.99,5.7
79,100,69,-9.11,atambua,302.28,2.42
80,3,93,38.73,praia da vitoria,283.15,4.03
81,100,92,73.51,dikson,254.63,13.89
82,40,63,-13.85,alyangula,306.15,3.6
83,90,87,37.61,pacifica,283.48,4.1
84,4,74,-9.8,atuona,300.22,5.73
85,40,38,-23.53,emerald,304.21,4.6
86,0,31,18.69,bilma,284.93,6.53
87,90,85,47.8,zhezkazgan,261.15,4.0
88,100,82,61.3,soderhamn,280.37,3.13
89,0,52,27.97,guerrero negro,287.71,2.52
90,100,92,-13.19,ambilobe,297.42,1.93
91,40,54,19.71,hilo,297.01,3.6
92,0,85,57.36,ust-kishert,250.5,0.66
93,100,95,-3.77,tucurui,296.93,1.08
94,88,72,-35.94,dargaville,293.97,4.85
95,90,48,-21.69,moindou,303.15,11.3
96,40,100,13.23,devanhalli,291.15,3.1
97,100,98,61.32,ovre ardal,271.45,5.2
98,100,98,69.7,pevek,241.79,3.35
99,100,99,-3.52,lodja,293.25,0.62
100,75,69,-5.2,touros,300.15,6.7
101,90,92,71.97,saskylakh,239.51,2.4
102,100,98,-15.63,urubicha,296.29,0.4
103,100,82,71.64,tiksi,244.3,5.64
104,21,83,9.49,bandarbeyla,299.09,5.78
105,100,97,3.87,inirida,296.5,0.81
106,9,83,-33.02,east london,294.37,3.87
107,14,93,53.41,liverpool,277.92,4.6
108,95,75,66.04,inta,260.16,12.09
109,100,88,-17.88,quelimane,300.15,1.0
110,82,61,-8.49,merauke,304.89,4.01
111,100,92,45.71,zhaozhou,250.83,2.76
112,0,52,29.97,suez,285.75,3.62
113,90,100,38.18,morehead,285.24,3.1
114,0,80,22.57,sur,292.8,0.55
115,91,32,36.06,nahrin,273.87,0.66
116,20,81,37.72,vila franca do campo,284.15,2.6
117,90,87,37.46,half moon bay,283.5,4.1
